Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
52,Répons; Dialogue de l'ombre double,Pierre Boulez,3.67,444,1998
53,Burzum,Burzum,3.6,8340,1992
54,Chatterton,Alain Bashung,3.66,367,1994
55,La création du monde,Bernard Parmegiani,3.67,267,1996
56,#3 (Ce n'est pas perdu pour tout le monde),Diabologum,3.63,669,1996
57,Homework,Daft Punk,3.53,22425,1997
58,L'autre...,Mylène Farmer,3.63,652,1991
59,Suprême NTM,Suprême NTM,3.63,573,1998
60,Pierrot lunaire; Herzgewächse; Ode to Napoleon,Arnold Schoenberg,3.63,366,1998
61,Mustango,Murat,3.64,311,1999
62,Ordo Virtutum,Hildegard von Bingen / Sequentia,3.65,295,1998
63,Exposition Internationale Paris 1937,Les Joyaux de la Princesse,3.64,230,1998
64,And the Weathermen Shrug Their Shoulders,The Ex / Tom Cora,3.64,394,1993
65,Dolorès,Murat,3.67,171,1996
66,Det som engang var,Burzum,3.58,7341,1993
67,O Jerusalem,Hildegard von Bingen / Sequentia,3.65,253,1997
68,666.667 Club,Noir Désir,3.61,851,1996
69,Pornostar,Panico,3.85,158,1995
70,Anamorphosée,Mylène Farmer,3.62,504,1995
71,Ustensiles,Lê Quan Ninh,3.65,231,1997
72,Innamoramento,Mylène Farmer,3.62,474,1999
73,Le phare,Yann Tiersen,3.62,761,1998
74,(symbols),KMFDM,3.6,1535,1997
75,Clandestino,Manu Chao,3.57,3511,1998
76,György Ligeti Edition 6: Keyboard Works - Piano Four-Hands; Piano; 2 Pianos; Harpsichord; Organ,György Ligeti,3.74,183,1997
77,Final Holocaust,Massacra,3.59,958,1990
78,Miserere,Henryk Mikołaj Górecki,3.62,280,1994
79,Coloured Funeral,Mercyless,3.63,277,1993
80,Paris sous les bombes,Suprême NTM,3.61,445,1995
81,Forever War,Kickback,3.63,267,1997
82,Quelques gouttes suffisent...,Ärsenik,3.66,199,1998
83,Métèque et mat,Akhenaton,3.63,224,1995
84,Oxygene 7-13,Jean Michel Jarre,3.59,827,1997
85,C'est déjà ça,Alain Souchon,3.61,239,1993
86,Demo '96,Bekhira,3.61,224,1996
87,Tostaky,Noir Désir,3.57,742,1992
88,Synthèse,Pépé Bradock,3.59,383,1998
89,Aubrite,Thomas Köner,3.59,269,1995
90,Twilight,Corpus Delicti,3.6,227,1993
91,La mémoire neuve,Dominique A,3.6,258,1995
92,The Cube,Supuration,3.57,723,1993
93,Nihil,KMFDM,3.55,1776,1995
94,Boire,Miossec,3.59,257,1995
95,Les ténèbres du dehors,Elend,3.57,467,1996
96,Abject Offerings,Mercyless,3.58,310,1992
97,"Remains of a Ruined, Dead, Cursed Soul",Mütiilation,3.54,1321,1999
98,Eye of the Hunter,Brendan Perry,3.56,785,1999
99,Blue Planet,Blue Planet Corporation,3.57,523,1999
100,Casa Babylon,Mano Negra,3.56,546,1994
