Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
91,Spirit They're Gone Spirit They've Vanished,Avey Tare & Panda Bear,3.78,17234,2000
92,Insignificance,Jim O'Rourke,3.85,5521,2001
93,Transient,Gaelle,3.87,2098,2004
94,Axe to Fall,Converge,3.84,7142,2009
95,The Black Album,Jay-Z,3.83,11292,2003
96,Midtown 120 Blues,DJ Sprinkles,3.85,5200,2008
97,Three Cheers for Disappointment,The Arrogant Sons of Bitches,3.84,4551,2006
98,Dystopia,Dystopia,3.86,2812,2008
99,Rated R,Queens of the Stone Age,3.8,16776,2000
100,Fleet Foxes,Fleet Foxes,3.77,22215,2008
